No.,iupac_name,official_name,aliases,regulation_date,designated_date_ja,category,pubchem_cid,inchi_key,smiles,effective_date,gazette_date,source_link
333,"N-(2-methoxybenzylu)-2-(2, 5-jimethoxy-4-mechiruphenyl)e tanamine",25D-NBOMe,,,平成27年3月25日,指定薬物,,,,,,
334,N-(2-methoxybenzylu)-N-mechi ru-1-(4-mechiruphenyl)puropan -2-amine,4-MMA-NBOMe,,,平成30年2月28日,指定薬物,,,,,,
335,3-methoxy-2-(mechiruamineo)-1- (4-mechiruphenyl)puropan-1-o n,Mexedrone;  4-MMC-OMe,,,平成28年8月24日,指定薬物,,,,,,
336,"5-methoxy-2-mechiru-N,N-jime chirutoriputamine",5-MeO-2-TMT,,,平成27年5月22日,指定薬物,,,,,,
337,"1-(2-methoxy-4,5-mechirenjio kishiphenyl)puropan-2-amine及 びその salts",MMDA-2,,2007/02/28,平成19年2月28日,指定薬物,,,,,,
338,"1-(2-methoxy-4,5-mechirenjio kishiphenyl)-2-(mechiruamineo)puro pan-1-on","2-Methoxy-4, 5- methylenedioxy methcathinone",,,平成27年3月25日,指定薬物,,,,,,
339,[1-(2-moruforinoechiru)-1H- indo-ru-3-iru](nafutaren-1 -iru)metanon,JWH-200,,,平成23年4月14日,指定薬物,,,,,,
340,5-yo-doindan-2-amine及びそ の salts,5-IAI,,,平成24年12月17日,指定薬物,,,,,,
341,"1-(4-yo-do-2,5-jimethoxyfe niru)puropan-2-amine 類",DOI,,2007/12/12,平成19年12月12日,指定薬物,,,,,,
342,"2-(4-yo-do-2,5-jimethoxyfe niru)-N-(3,4-mechirenjiokishi benzylu)etanamine",25I-NB34MD,,,平成27年6月24日,指定薬物,,,,,,
343,"2-[(4-yo-do-2,5-jimethoxy fenechiruamineo)mechiru]feno-ru及 びその salts",25I-NBOH,,,平成30年6月20日,指定薬物,,,,,,
344,(2-yo-do-5-nitorophenyl){1- [(1-mechirupiperijin-2-iru)mechi ru]-1H-indo-ru-3-iru}metano n,AM1241,,,平成25年4月30日,指定薬物,,,,,,
345,(2-yo-dophenyl)(1-penchiru-1 H-indo-ru-3-iru)metanon及び その salts,AM679,,,平成24年10月17日,指定薬物,,,,,,
346,(2-yo-dophenyl)[1-(1-mechirua zepan-3-iru)-1H-indo-ru -3-iru]metanon,AM2233 アゼパン異性体;  AM2233 azepan isomer,,,平成26年8月15日,指定薬物,,,,,,
347,(2-yo-dophenyl){1-[(1-mechiru piperijin-2-iru)mechiru]-1H- indo-ru-3-iru}metanon,AM2233,,,平成24年6月1日,指定薬物,,,,,,
348,(4-echirunafutaren-1-iru) (1-penchiru-1H-indo-ru-3 -iru)metanon,JWH-210,,,平成23年9月20日,指定薬物,,,,,,
349,(4-echirunafutaren-1-iru) (2-mechiru-1-penchiru-1H-i ndo-ru-3-iru)metanon,JWH-213,,,平成24年12月17日,指定薬物,,,,,,
350,(4-kuroronafutaren-1-iru) (1-penchiru-1H-indo-ru-3 -iru)metanon,JWH-398,,,平成24年10月17日,指定薬物,,,,,,
351,nafutaren-1-iru[1-(pento-4 -en-1-iru)-1H-indo-ru -3-iru]metanon,JWH-022,,,平成24年6月1日,指定薬物,,,,,,
352,5-[3-(1-nafutoiru)-1H-i ndo-ru-1-iru]pentannitoriru及 びその salts,AM2232,,,平成24年10月17日,指定薬物,,,,,,
353,(1-hekishiru-1H-indo-ru-3 -iru)(nafutaren-1-iru)meta non,JWH-019,,,平成23年9月20日,指定薬物,,,,,,
354,(1-penchiru-1H-indo-ru-3 -iru)(4-puropirunafutaren-1 -iru)metanon,JWH-182,,,平成24年10月17日,指定薬物,,,,,,
355,(4-mechirunafutaren-1-iru)[1 -(pento-4-en-1-iru)-1 H-indo-ru-3-iru]metanon及び その salts,JWH-122 N-(4-pentenyl)誘 導体,,,平成24年10月17日,指定薬物,,,,,,
356,2-(echiruamineo)-1-phenylbutan -1-on,N-Ethylbuphedrone;  NEB,,,平成25年4月30日,指定薬物,,,,,,
357,1-(4-echiruphenyl)-2-(mechiru amineo)puropan-1-on,4-Ethylmethcathinone,,,平成24年12月17日,指定薬物,,,,,,
358,2-(jimechiruamineo)-1-(4-mechiru phenyl)butan-1-on,4-Methyl-N- methylbuphedrone,,,平成25年4月30日,指定薬物,,,,,,
359,"2-(jimechiruamineo)-1-(3, 4-mechire njiokishiphenyl)puropan-1-on",bk-MDDMA,,,平成25年4月30日,指定薬物,,,,,,
360,1-phenyl-2-(pirorijin-1-i ru)butan-1-on,α-PBP,,,平成25年4月30日,指定薬物,,,,,,
361,1-(3-furuorophenyl)-2-(mechi ruamineo)puropan-1-on 類,3-Fluoromethcathinone;  3-FMC,,,平成23年4月14日,指定薬物,,,,,,
362,1-(4-furuorophenyl)-2-(mechi ruamineo)puropan-1-on 類,4-Fluoromethcathinone;  4-FMC,,,平成23年9月20日,指定薬物,,,,,,
363,1-(4-buromophenyl)-2-(mechirua mino)puropan-1-on,Brephedrone;  4-Bromomethcathinone,,,平成25年4月30日,指定薬物,,,,,,
364,2-(mechiruamineo)-1-phenylbutan- 1-on,Buphedrone,,,平成24年10月17日,指定薬物,,,,,,
365,2-(mechiruamineo)-1-(4-mechirufe niru)butan-1-on,4-Methylbuphedrone,,,平成25年4月30日,指定薬物,,,,,,
366,"2-mechiruamineo-1-(3,4-mechirenji okishiphenyl)butan-1-on及びそ の salts",bk-MBDB;  Butylone,,2007/12/12,平成19年12月12日,指定薬物,,,,,,
367,"2-(mechiruamineo)-1-(3, 4-mechiren jiokishiphenyl)pentan-1-on及 びその salts",Pentylone,,,平成25年4月30日,指定薬物,,,,,,
368,1-(4-mechiruphenyl)-2-(piroriji n-1-iru)puropan-1-on及びそ の salts,デスエチルピロバレロン;  4-MePPP,,,平成24年10月17日,指定薬物,,,,,,
369,"1-(3, 4-mechirenjiokishiphenyl)- 2-(pirorijin-1-iru)butan-1- on",MDPBP,,,平成24年10月17日,指定薬物,,,,,,
370,"1-(3, 4-mechirenjiokishiphenyl)- 2-(pirorijin-1-iru)puropan-1 -on",MDPPP,,,平成25年6月28日,指定薬物,,,,,,
371,1-(4-methoxyphenyl)-2-(jimechi ruamineo)puropan-1-on 類,"4-Methoxy-N, N- dimethylcathinone;  N-Methylmethedrone",,,平成25年4月30日,指定薬物,,,,,,
372,1-(4-methoxyphenyl)-2-(pirori jin-1-iru)pentan-1-on及び その salts,4-MeO-α-PVP,,,平成25年10月21日,指定薬物,,,,,,
373,1-(4-methoxyphenyl)-2-(mechiru amineo)puropan-1-on,4-Methoxymethcathinone;  Methedrone,,,平成23年4月14日,指定薬物,,,,,,
374,2-echiruamineo-1-(4-mechiru phenyl)hekisan-1-on及びそ の salts,-,,,平成27年3月25日,指定薬物,,,,,,
375,1-phenyl-2-(pirorijin-1-iru) okutan-1-on,α-POP;  PV9,,,平成26年3月6日,指定薬物,,,,,,
376,1-phenyl-2-(pirorijin-1- iru)nonan-1-on,α-PNP;  PV10,,,平成26年11月18日,指定薬物,,,,,,
377,1-phenyl-2-(pirorijin-1- iru)heputan-1-on 類,α-PHPP;  PV8,,,平成25年10月21日,指定薬物,,,,,,
378,1-(4-furuorophenyl)-2-(piro rijin-1-iru)okutan-1-on及 びその salts,4-Fluoro-α-POP,,,平成27年1月30日,指定薬物,,,,,,
379,1-(4-furuorophenyl)-2- (pirorijin-1-iru)heputan-1 -on,4-Fluoro-α-PHPP,,,平成26年9月19日,指定薬物,,,,,,
380,"3-hekishiru-6a,7,8,10a-tetrahydro -6,6,9-torimechiru-6H-jibenzo[b, d]piran-1-o-ru",Δ9-THCH; THCH,,,令和5年7月25日,指定薬物,,,,,,
381,"3-hekishiru-6a,7,10,10a-tetorahido ro-6,6,9-torimechiru-6H-jibenzo [b,d]piran-1-o-ru",Δ8-THCH; THCH,,,令和5年7月25日,指定薬物,,,,,,
382,"3-hepuchiru-6a,7,8,10a-tetrahydro -6,6,9-torimechiru-6H-jibenzo[b, d]piran-1-o-ru",Δ9-THCP;  THC-Heptyl,,,令和4年3月7日,指定薬物,,,,,,
383,"6a,7,8,9,10,10a-hekisahidoro- 6,6,9-torimechiru-3-penchiru-6H -jibenzo[b,d]piran-1-o-ru及び その salts",Hexahydrocannabinol;  HHC,,,令和4年3月7日 令和7年10月3日麻薬,麻薬,,,,,,
384,"3-hekishiru-6a,7,8,9,10,10a- hekisahidoro-6,6,9-torimechiru-6H -jibenzo[b,d]piran-1-o-ru及び その salts",HHCH; HHC-H;  Hexahydrocannabihexol,,,令和5年11月22日,指定薬物,,,,,,
385,"6a,7,8,10a-tetrahydro-6,6,9-to rimechiru-3-penchiru-6H-jibenzo[b, d]piran-1-iru=asete-to 類",Δ9-THCO;  THC-O;  THCO;  THC-O-acetate,,,令和5年3月10日 令和6年8月30日麻薬,麻薬,,,,,,
386,"6a,7,10,10a-tetrahydro-6,6,9- torimechiru-3-penchiru-6H-jibenzo [b,d]piran-1-iru=asete-to及びそ の salts",Δ8-THCO;  THC-O;  THCO;  THC-O-acetate,,,令和5年3月10日 令和6年11月20日麻薬,麻薬,,,,,,
387,"6a,7,8,9,10,10a-hekisahidoro-6, 6,9-torimechiru-3-penchiru-6H-jibe nzo[b,d]piran-1-iru=asete-to及 びその salts",HHCO;  HHC-O;  HHC-O-acetate,,,令和5年3月10日,指定薬物,,,,,,
